player_id,player_name,event_date,event_week,prev_surface,next_surface,wr_before,wr_after,STI_raw,STI_weighted,tier_mode
A007,Juan Aguilera,1991-07-08,1991-07-02,Grass,Clay,0.0,0.5,-499999.0,-824998.3500000001,A
A018,Christer Allgardh,1991-04-01,1991-03-26,Hard,Clay,0.0,0.0,1.0,1.54,A
A018,Christer Allgardh,1992-11-09,1992-11-03,Clay,Hard,0.0,0.0,1.0,1.2100000000000002,A
A027,Paul Annacone,1991-07-29,1991-07-23,Grass,Hard,0.5,0.3333333333333333,0.666667333332,0.8800008799982401,A
A027,Paul Annacone,1992-02-17,1992-02-11,Hard,Carpet,0.3333333333333333,0.0,2.9999909999522956e-06,3.2999900999475253e-06,A
A028,Alex Antonitsch,1991-02-01,1991-01-29,Hard,Carpet,0.3333333333333333,0.3333333333333333,1.0,1.1,A
A028,Alex Antonitsch,1991-02-18,1991-02-12,Carpet,Hard,0.0,1.0,-999999.0,-1099998.9000000001,A
A028,Alex Antonitsch,1991-02-25,1991-02-19,Hard,Carpet,0.3333333333333333,0.0,2.9999909999522956e-06,3.2999900999475253e-06,A
A028,Alex Antonitsch,1991-04-01,1991-03-26,Carpet,Hard,0.3333333333333333,0.6666666666666666,2.9999909999522956e-06,3.2999900999475253e-06,A
A028,Alex Antonitsch,1991-05-13,1991-05-07,Hard,Clay,0.3333333333333333,0.3333333333333333,1.0,1.54,A
A028,Alex Antonitsch,1991-06-10,1991-06-04,Clay,Grass,0.0,1.0,-999999.0,-1429998.5700000003,A
A028,Alex Antonitsch,1991-10-07,1991-10-01,Grass,Hard,0.0,0.0,1.0,1.32,A
A028,Alex Antonitsch,1991-10-14,1991-10-08,Hard,Carpet,0.3333333333333333,0.3333333333333333,1.0,1.1,A
A028,Alex Antonitsch,1992-03-30,1992-03-24,Carpet,Hard,0.3333333333333333,0.3333333333333333,1.0,1.1,A
A028,Alex Antonitsch,1992-05-01,1992-04-28,Hard,Carpet,0.0,0.6666666666666666,-666665.6666666666,-733332.2333333334,A
A028,Alex Antonitsch,1992-07-06,1992-06-30,Carpet,Grass,0.0,1.0,-999999.0,-999999.0,B
